date,pm1,latitude,longitude,pm25
2021-09-07T00:00:00.000Z,3.35,41.650791,-8.43569,3.35
2021-09-08T00:00:00.000Z,3.65,41.650791,-8.43569,3.65
2021-09-09T00:00:00.000Z,5.43,41.650791,-8.43569,5.43
2021-09-10T00:00:00.000Z,3.13,41.650791,-8.43569,3.13
2021-09-11T00:00:00.000Z,3.15,41.650791,-8.43569,3.15
2021-09-12T00:00:00.000Z,3.22,41.650791,-8.43569,3.22
2021-09-13T00:00:00.000Z,4.2,41.650791,-8.43569,4.2
2021-09-15T00:00:00.000Z,2.29,41.650791,-8.43569,2.29
2021-09-16T00:00:00.000Z,3.72,41.650791,-8.43569,3.72
2021-09-17T00:00:00.000Z,9.65,41.650791,-8.43569,9.65
2021-09-18T00:00:00.000Z,2.38,41.650791,-8.43569,2.38
2021-09-19T00:00:00.000Z,1.83,41.650791,-8.43569,1.83
2021-09-20T00:00:00.000Z,1.0,41.650791,-8.43569,1.0
2021-09-21T00:00:00.000Z,0.85,41.650791,-8.43569,0.85
2021-09-22T00:00:00.000Z,1.25,41.650791,-8.43569,1.25
2021-09-23T00:00:00.000Z,2.38,41.650791,-8.43569,2.38
2021-09-24T00:00:00.000Z,2.72,41.650791,-8.43569,2.72
2021-09-25T00:00:00.000Z,4.7,41.650791,-8.43569,4.7
2021-09-26T00:00:00.000Z,2.75,41.650791,-8.43569,2.75
2021-09-27T00:00:00.000Z,4.93,41.650791,-8.43569,4.93
2021-09-28T00:00:00.000Z,2.8,41.650791,-8.43569,2.8
2021-09-29T00:00:00.000Z,1.85,41.650791,-8.43569,1.85
2021-09-30T00:00:00.000Z,2.27,41.650791,-8.43569,2.27
2021-10-01T00:00:00.000Z,8.88,41.650791,-8.43569,8.88
2021-10-02T00:00:00.000Z,7.32,41.650791,-8.43569,7.32
2021-10-03T00:00:00.000Z,1.92,41.650791,-8.43569,1.92
2021-10-04T00:00:00.000Z,3.88,41.650791,-8.43569,3.88
2021-10-05T00:00:00.000Z,3.25,41.650791,-8.43569,3.25
2021-10-06T00:00:00.000Z,6.05,41.650791,-8.43569,6.05
2021-10-07T00:00:00.000Z,6.47,41.650791,-8.43569,6.47
2021-10-08T00:00:00.000Z,7.22,41.650791,-8.43569,7.22
2021-10-09T00:00:00.000Z,25.54,41.650791,-8.43569,25.54
2021-10-10T00:00:00.000Z,3.3,41.650791,-8.43569,3.3
2021-10-11T00:00:00.000Z,3.16,41.650791,-8.43569,3.16
2021-10-12T00:00:00.000Z,3.68,41.650791,-8.43569,3.68
2021-10-13T00:00:00.000Z,3.51,41.650791,-8.43569,3.51
2021-10-14T00:00:00.000Z,8.23,41.650791,-8.43569,8.23
2021-10-15T00:00:00.000Z,17.42,41.650791,-8.43569,17.42
2021-10-16T00:00:00.000Z,31.05,41.650791,-8.43569,31.05
2021-10-17T00:00:00.000Z,11.2,41.650791,-8.43569,11.2
2021-10-18T00:00:00.000Z,11.41,41.650791,-8.43569,11.41
2021-10-19T00:00:00.000Z,10.34,41.650791,-8.43569,10.34
2021-10-20T00:00:00.000Z,10.34,41.650791,-8.43569,10.34
2021-10-21T00:00:00.000Z,4.7,41.650791,-8.43569,4.7
2021-10-22T00:00:00.000Z,2.89,41.650791,-8.43569,2.89
2021-10-23T00:00:00.000Z,3.83,41.650791,-8.43569,3.83
2021-10-24T00:00:00.000Z,10.57,41.650791,-8.43569,10.57
2021-10-25T00:00:00.000Z,6.75,41.650791,-8.43569,6.75
2021-10-26T00:00:00.000Z,5.32,41.650791,-8.43569,5.32
2021-10-27T00:00:00.000Z,7.54,41.650791,-8.43569,7.54
2021-10-28T00:00:00.000Z,13.32,41.650791,-8.43569,13.32
2021-10-29T00:00:00.000Z,5.57,41.650791,-8.43569,5.57
2021-10-30T00:00:00.000Z,4.3,41.650791,-8.43569,4.3
2021-10-31T00:00:00.000Z,5.05,41.650791,-8.43569,5.05
2021-11-01T00:00:00.000Z,2.08,41.650791,-8.43569,2.08
2021-11-02T00:00:00.000Z,4.8,41.650791,-8.43569,4.8
2021-11-03T00:00:00.000Z,8.69,41.650791,-8.43569,8.69
2021-11-04T00:00:00.000Z,5.49,41.650791,-8.43569,5.49
2021-11-05T00:00:00.000Z,3.74,41.650791,-8.43569,3.74
2022-02-15T00:00:00.000Z,10.05,41.650791,-8.43569,10.05
2022-02-16T00:00:00.000Z,29.27,41.650791,-8.43569,29.27
2022-02-17T00:00:00.000Z,10.9,41.650791,-8.43569,10.9
2022-02-18T00:00:00.000Z,33.65,41.650791,-8.43569,33.65
2022-02-19T00:00:00.000Z,3.03,41.650791,-8.43569,3.03
2022-02-20T00:00:00.000Z,11.49,41.650791,-8.43569,11.49
2022-02-21T00:00:00.000Z,8.11,41.650791,-8.43569,8.11
2022-02-22T00:00:00.000Z,4.43,41.650791,-8.43569,4.43
2022-02-23T00:00:00.000Z,10.19,41.650791,-8.43569,10.19
2022-02-24T00:00:00.000Z,10.54,41.650791,-8.43569,10.54
2022-02-25T00:00:00.000Z,3.72,41.650791,-8.43569,3.72
2022-02-26T00:00:00.000Z,11.0,41.650791,-8.43569,11.0
2022-02-27T00:00:00.000Z,22.1,41.650791,-8.43569,22.1
2022-02-28T00:00:00.000Z,14.98,41.650791,-8.43569,14.98
2022-03-01T00:00:00.000Z,19.77,41.650791,-8.43569,19.77
2022-03-02T00:00:00.000Z,13.57,41.650791,-8.43569,13.57
2022-03-03T00:00:00.000Z,3.15,41.650791,-8.43569,3.15
2022-03-04T00:00:00.000Z,3.08,41.650791,-8.43569,3.08
