date,latitude,longitude,parameter,value,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-07-01,41.5549,-8.4067,pm25,10.19,67.4,56.8,61.7,61.7,56.9,84.7,,0.0,0,11.2,1018.5,70.6,6.0,333.8,29.0,9
2021-07-02,41.5549,-8.4067,pm10,5.57,70.4,57.8,63.2,63.2,58.0,83.9,,0.098,0,7.1,1018.7,74.3,6.7,142.8,12.4,8
2021-07-02,41.5549,-8.4067,pm25,2.78,70.4,57.8,63.2,63.2,58.0,83.9,,0.098,0,7.1,1018.7,74.3,6.7,142.8,12.4,8
2021-07-04,41.5549,-8.4067,pm10,6.57,67.7,62.1,64.7,64.7,60.7,87.2,,0.032,0,8.1,1019.6,90.6,6.6,107.4,9.3,3
2021-07-04,41.5549,-8.4067,pm25,1.7,67.7,62.1,64.7,64.7,60.7,87.2,,0.032,0,8.1,1019.6,90.6,6.6,107.4,9.3,3
2021-07-09,41.5549,-8.4067,pm10,7.24,74.4,54.5,65.1,65.1,56.6,75.3,,0.0,0,11.0,1020.3,6.5,7.3,338.8,29.2,9
2021-07-09,41.5549,-8.4067,pm25,4.17,74.4,54.5,65.1,65.1,56.6,75.3,,0.0,0,11.0,1020.3,6.5,7.3,338.8,29.2,9
2021-08-09,41.5549,-8.4067,pm10,7.55,73.2,54.6,63.6,63.6,55.2,75.5,,0.0,0,12.4,1016.7,51.0,7.3,283.6,24.5,9
2021-08-09,41.5549,-8.4067,pm25,2.49,73.2,54.6,63.6,63.6,55.2,75.5,,0.0,0,12.4,1016.7,51.0,7.3,283.6,24.5,9
2021-08-10,41.5549,-8.4067,pm10,9.65,74.6,54.2,64.6,64.6,57.7,79.9,,0.001,0,13.0,1017.2,8.3,7.3,279.5,24.1,8
2021-08-10,41.5549,-8.4067,pm25,5.13,74.6,54.2,64.6,64.6,57.7,79.9,,0.001,0,13.0,1017.2,8.3,7.3,279.5,24.1,8
2021-08-27,41.5549,-8.4067,pm10,19.62,72.5,58.8,65.5,65.5,60.1,83.4,,0.0,0,8.7,1015.7,27.4,6.3,238.3,20.6,8
2021-08-27,41.5549,-8.4067,pm25,11.39,72.5,58.8,65.5,65.5,60.1,83.4,,0.0,0,8.7,1015.7,27.4,6.3,238.3,20.6,8
2021-10-06,41.5549,-8.4067,pm10,6.28,72.0,55.0,62.7,62.7,56.9,82.7,,0.003,0,8.2,1023.7,14.8,6.8,208.5,18.1,7
2021-10-06,41.5549,-8.4067,pm25,2.6,72.0,55.0,62.7,62.7,56.9,82.7,,0.003,0,8.2,1023.7,14.8,6.8,208.5,18.1,7
2021-10-12,41.5549,-8.4067,pm10,6.15,78.8,58.1,66.4,66.4,47.4,51.3,,0.0,0,12.9,1017.9,18.6,8.5,189.8,16.5,7
2021-10-12,41.5549,-8.4067,pm25,2.7,78.8,58.1,66.4,66.4,47.4,51.3,,0.0,0,12.9,1017.9,18.6,8.5,189.8,16.5,7
2021-10-31,41.5549,-8.4067,pm10,10.98,65.5,58.4,62.4,62.4,61.6,97.1,,1.18,0,14.2,1010.3,85.6,4.7,46.2,3.9,2
2021-10-31,41.5549,-8.4067,pm25,2.42,65.5,58.4,62.4,62.4,61.6,97.1,,1.18,0,14.2,1010.3,85.6,4.7,46.2,3.9,2
2021-11-08,41.5549,-8.4067,pm10,19.27,62.8,48.1,53.9,53.0,46.7,77.3,,0.0,0,8.1,1022.9,38.4,7.7,136.7,11.8,6
2021-11-08,41.5549,-8.4067,pm25,12.15,62.8,48.1,53.9,53.0,46.7,77.3,,0.0,0,8.1,1022.9,38.4,7.7,136.7,11.8,6
2021-11-19,41.5549,-8.4067,pm10,4.43,65.3,47.7,55.7,54.7,41.7,60.0,,0.0,0,12.9,1021.8,18.8,8.7,123.4,10.6,5
2021-11-19,41.5549,-8.4067,pm25,2.0,65.3,47.7,55.7,54.7,41.7,60.0,,0.0,0,12.9,1021.8,18.8,8.7,123.4,10.6,5
2021-12-05,41.5549,-8.4067,pm10,16.6,56.3,48.8,52.1,52.0,46.7,82.1,,0.006999999999999999,0,17.4,1028.1,60.4,6.6,42.6,3.6,2
2021-12-05,41.5549,-8.4067,pm25,3.53,56.3,48.8,52.1,52.0,46.7,82.1,,0.006999999999999999,0,17.4,1028.1,60.4,6.6,42.6,3.6,2
2021-12-24,41.5549,-8.4067,pm10,14.85,56.8,53.7,55.1,55.1,52.2,90.1,,0.551,0,16.1,1007.4,83.0,5.9,27.9,2.5,1
2021-12-24,41.5549,-8.4067,pm25,3.03,56.8,53.7,55.1,55.1,52.2,90.1,,0.551,0,16.1,1007.4,83.0,5.9,27.9,2.5,1
2021-12-26,41.5549,-8.4067,pm10,10.43,59.0,54.1,57.0,57.0,56.4,98.0,,1.208,0,15.7,1008.7,92.4,3.4,23.2,2.1,1
2021-12-26,41.5549,-8.4067,pm25,3.91,59.0,54.1,57.0,57.0,56.4,98.0,,1.208,0,15.7,1008.7,92.4,3.4,23.2,2.1,1
2021-12-28,41.5549,-8.4067,pm10,27.61,61.5,58.0,59.2,59.2,57.4,93.7,,0.101,0,13.9,1021.7,90.3,5.2,28.8,2.5,1
2021-12-28,41.5549,-8.4067,pm25,6.19,61.5,58.0,59.2,59.2,57.4,93.7,,0.101,0,13.9,1021.7,90.3,5.2,28.8,2.5,1
2022-01-08,41.5549,-8.4067,pm10,39.54,51.9,37.1,44.8,42.4,40.9,86.9,,0.076,0,7.8,1031.5,71.4,6.4,91.0,7.8,4
2022-01-08,41.5549,-8.4067,pm25,24.72,51.9,37.1,44.8,42.4,40.9,86.9,,0.076,0,7.8,1031.5,71.4,6.4,91.0,7.8,4
2022-01-24,41.5549,-8.4067,pm10,40.63,55.4,35.7,43.7,41.0,36.9,78.5,10.0,0.001,0,8.1,1026.5,2.5,6.7,122.5,11.0,5
2022-01-24,41.5549,-8.4067,pm25,27.57,55.4,35.7,43.7,41.0,36.9,78.5,10.0,0.001,0,8.1,1026.5,2.5,6.7,122.5,11.0,5
2022-02-07,41.5549,-8.4067,pm10,11.7,64.5,42.8,52.2,50.7,38.8,62.5,10.0,0.0,0,7.4,1029.4,14.7,7.6,142.7,12.3,6
2022-02-07,41.5549,-8.4067,pm25,5.93,64.5,42.8,52.2,50.7,38.8,62.5,10.0,0.0,0,7.4,1029.4,14.7,7.6,142.7,12.3,6
2022-02-15,41.5549,-8.4067,pm10,23.83,55.3,39.9,47.9,46.1,44.4,88.2,10.0,0.034,0,8.6,1030.0,60.3,6.7,91.1,7.9,5
2022-02-15,41.5549,-8.4067,pm25,12.03,55.3,39.9,47.9,46.1,44.4,88.2,10.0,0.034,0,8.6,1030.0,60.3,6.7,91.1,7.9,5
2022-02-16,41.5549,-8.4067,pm10,14.3,56.3,49.0,53.5,53.4,52.5,96.4,10.0,0.13,0,7.7,1030.8,92.2,4.6,10.5,0.8,1
2022-02-16,41.5549,-8.4067,pm25,9.52,56.3,49.0,53.5,53.4,52.5,96.4,10.0,0.13,0,7.7,1030.8,92.2,4.6,10.5,0.8,1
2022-03-30,41.5549,-8.4067,pm10,17.1,59.4,46.5,53.2,52.4,46.1,77.3,10.0,0.0,0,13.2,1009.7,27.4,6.8,254.6,22.2,8
2022-03-30,41.5549,-8.4067,pm25,7.23,59.4,46.5,53.2,52.4,46.1,77.3,10.0,0.0,0,13.2,1009.7,27.4,6.8,254.6,22.2,8
