date,min,max,median,q1,q3,stdev,count
2022-06-22T00:00:00.000Z,0,42.5,3.9,0.7,7,5.254,551
2022-06-23T00:00:00.000Z,0.7,29.5,6.8,5.09,10.2,6.16,600
2022-06-24T00:00:00.000Z,0,37.2,20.25,16.8,25.6,9.127,302
2022-06-25T00:00:00.000Z,0,14.1,0.4,0.1,1.6,1.455,456
2022-06-26T00:00:00.000Z,0,11.8,0.2,0.05,0.4,1.415,236
2022-06-27T00:00:00.000Z,0,7.8,0.2,0.1,0.4,0.619,352
2022-06-28T00:00:00.000Z,0,18,0.5,0.2,0.9,1.432,391
2022-06-29T00:00:00.000Z,0,7.6,0.3,0.1,1.5,1.045,286
2022-06-30T00:00:00.000Z,0,4.8,0.1,0,0.2,0.597,171
2022-07-01T00:00:00.000Z,0,9.1,0.4,0.2,0.8,0.743,577
2022-07-02T00:00:00.000Z,0.9,33.1,6.6,4.8,10.55,5.015,616
2022-07-03T00:00:00.000Z,9.3,36.6,20.8,19.1,22.8,4.325,649
2022-07-04T00:00:00.000Z,5.8,34.8,18.4,9,23.4,7.475,638
2022-07-05T00:00:00.000Z,0.1,38.7,16,6.3,23.7,9.061,642
2022-07-06T00:00:00.000Z,3.2,23.4,5.4,4.6,8.2,3.913,629
2022-07-07T00:00:00.000Z,0,22,1,0.2,2.4,5.155,305
2022-07-08T00:00:00.000Z,0,20.4,5.5,3.1,7.7,3.434,323
2022-07-09T00:00:00.000Z,0,69.6,6.5,3.5,8.6,11.162,591
2022-07-10T00:00:00.000Z,5.2,93.8,26.3,12.8,34,13.327,611
2022-07-11T00:00:00.000Z,13.3,63.4,25.3,20.7,29.4,5.863,623
2022-07-12T00:00:00.000Z,9.9,55.4,21.4,18.9,25.4,5.616,625
2022-07-13T00:00:00.000Z,17.2,272.2,46.7,37,82.7,59.377,662
2022-07-14T00:00:00.000Z,22.9,178.1,50,44,56,30.968,575
2022-07-15T00:00:00.000Z,17.7,50.1,30.45,21.6,44,10.794,618
2022-07-16T00:00:00.000Z,7.9,39.1,26.05,21,30.5,7.327,638
2022-07-17T00:00:00.000Z,6.6,34.9,25,18.1,28.4,8.194,629
2022-07-18T00:00:00.000Z,0,35,9.44,1.7,29.1,12.684,558
2022-07-19T00:00:00.000Z,0,24.8,2.8,1.5,3.9,2.385,579
2022-07-20T00:00:00.000Z,1.3,23.9,5.4,3.6,7.5,3.961,624
2022-07-21T00:00:00.000Z,14,41.2,25.1,22,28.4,4.197,661
2022-07-22T00:00:00.000Z,0.3,36.1,7.5,2.7,26,11.62,619
2022-07-23T00:00:00.000Z,0.7,200.5,7,4.8,9.75,24.68,637
2022-07-24T00:00:00.000Z,0.1,121.4,18.2,1.5,29.1,19.089,631
2022-07-25T00:00:00.000Z,0,40.7,3.5,2.7,4.2,4.574,545
2022-07-26T00:00:00.000Z,0,26.9,2.7,0.9,4.7,4.721,397
2022-07-27T00:00:00.000Z,0,50.5,4,1.4,8.44,7.762,521
2022-07-28T00:00:00.000Z,0,22.8,1.3,0.2,2.85,3.404,393
2022-07-29T00:00:00.000Z,0,18.6,1.9,1,3.2,2.41,593
2022-07-30T00:00:00.000Z,0,48.9,5.9,1.4,21.1,13.639,566
2022-07-31T00:00:00.000Z,1,42,15.9,9.85,23.5,8.718,649
2022-08-01T00:00:00.000Z,9.6,40,20.39,16.55,24.4,5.503,597
2022-08-02T00:00:00.000Z,10.4,41.7,21.9,18.55,25.4,4.361,633
2022-08-03T00:00:00.000Z,4.8,42.7,20.9,9.4,28.1,10.382,640
2022-08-04T00:00:00.000Z,3.3,47.5,17.39,6.3,24.3,10.682,651
2022-08-05T00:00:00.000Z,3.9,36.4,13,8.8,16.4,5.143,649
2022-08-06T00:00:00.000Z,9.1,33.7,20.6,18,24.9,5.157,663
2022-08-07T00:00:00.000Z,6,45.5,20.45,11.65,24.3,7.889,656
2022-08-08T00:00:00.000Z,6.4,30.3,18.39,14.9,21.65,5.557,649
2022-08-09T00:00:00.000Z,7.1,38.9,25.45,18.6,30.4,8.444,658
2022-08-10T00:00:00.000Z,11.8,35.1,23.2,17.7,28,5.616,651
2022-08-11T00:00:00.000Z,6.7,32.4,22.8,15.2,26.1,7.297,668
2022-08-12T00:00:00.000Z,4.4,31.8,10,7.3,18.95,6.073,637
2022-08-13T00:00:00.000Z,2.4,38.6,18.3,10.8,22.1,7.596,655
2022-08-14T00:00:00.000Z,3.2,33.2,17.8,7,20.5,7.063,661
2022-08-15T00:00:00.000Z,7.8,28.9,20.1,13.85,23.9,5.943,645
2022-08-16T00:00:00.000Z,0,27.3,1.7,0.2,2.4,3.51,495
2022-08-17T00:00:00.000Z,0,6.7,1.8,1.1,3.1,1.313,576
2022-08-18T00:00:00.000Z,0,8.7,2.35,0.8,3.1,1.304,574
2022-08-19T00:00:00.000Z,0,14.9,0.8,0.2,1.3,2.012,402
2022-08-20T00:00:00.000Z,0,18.6,1.1,0.35,2.5,2.131,572
2022-08-21T00:00:00.000Z,0,67.7,4.9,2.4,7.2,13.959,500
2022-08-22T00:00:00.000Z,0,51.2,7.9,3.5,34.15,16.882,537
2022-08-23T00:00:00.000Z,0,14.9,1.2,0.3,4.9,2.621,320
2022-08-24T00:00:00.000Z,2.4,23.6,8.6,5.5,18.5,6.674,651
2022-08-25T00:00:00.000Z,0,47,13.8,6.1,22.9,11.819,647
2022-08-26T00:00:00.000Z,1.5,31.5,8.9,4.4,13.9,5.574,653
2022-08-27T00:00:00.000Z,8.5,39.8,17,13.5,18.8,3.976,644
2022-08-28T00:00:00.000Z,1.4,31.8,13.8,3.9,20.6,8.17,655
2022-08-29T00:00:00.000Z,1.3,28.1,7.1,4.8,16.1,6.832,639
