date,min,max,median,q1,q3,stdev,count
2020-10-06T00:00:00.000Z,1.6,1.6,1.6,1.6,1.6,0,1
2020-10-21T00:00:00.000Z,0.77,1.45,1.12,0.94,1.29,0.241,4
2020-11-05T00:00:00.000Z,0.27,3.4,1,0.77,1.55,0.621,91
2020-11-06T00:00:00.000Z,0.1,15.4,3.5,0.56,5.45,2.784,329
2020-11-07T00:00:00.000Z,0.4,6.67,2,1.17,3.13,1.361,382
2020-11-08T00:00:00.000Z,0.43,17.53,1.53,0.8,4.43,2.384,351
2020-11-09T00:00:00.000Z,0.88,55.23,3.4,2.63,5.23,5.863,279
2020-11-10T00:00:00.000Z,1.07,32.22,8.18,4.75,11.89,4.874,332
2020-11-11T00:00:00.000Z,1,76.47,6.97,4.23,19.57,10.804,333
2020-11-12T00:00:00.000Z,2.65,53.45,12.9,5.68,22.93,9.365,293
2020-11-13T00:00:00.000Z,2.63,201.57,14.94,8.57,20.12,13.171,308
2020-11-14T00:00:00.000Z,4.43,43.9,7.88,5.97,20.8,9.84,336
2020-11-15T00:00:00.000Z,0.45,33.33,5.68,4.25,8.68,4.9,291
2020-11-16T00:00:00.000Z,2.7,88.88,10,7.1,17.2,10.057,280
2020-11-17T00:00:00.000Z,2.72,309.57,18.77,14.65,26.6,19.471,310
2020-11-18T00:00:00.000Z,6.15,40.22,12.3,8.77,19.23,7.182,371
2020-11-19T00:00:00.000Z,1.7,51.25,8.52,5.2,12.1,8.272,370
2020-11-20T00:00:00.000Z,0.3,27.23,3.86,2.31,5.99,3.607,364
2020-11-21T00:00:00.000Z,0.1,197.07,5.19,0.4,11.23,24.478,314
2020-11-22T00:00:00.000Z,1.92,70.03,19.04,10.13,34.5,16.321,306
2020-11-23T00:00:00.000Z,9.23,97.87,23.6,18.57,33.59,14.957,273
2020-11-24T00:00:00.000Z,7.2,113.7,28.17,20.35,51.95,18.753,288
2020-11-25T00:00:00.000Z,0.2,70.9,8.8,4.23,13.74,11.835,297
2020-11-26T00:00:00.000Z,0.1,41.23,4.9,1.37,17.32,10.448,288
2020-11-27T00:00:00.000Z,2.52,137.8,16.13,11.98,24.13,10.791,278
2020-11-28T00:00:00.000Z,1.53,71.7,8.36,5.77,22.17,12.391,283
2020-11-29T00:00:00.000Z,0.3,6.77,1.4,0.8,2.47,1.232,279
2020-11-30T00:00:00.000Z,0,26.73,1.73,0.3,4.67,4.226,256
2020-12-01T00:00:00.000Z,0.73,79.53,4.9,2.67,13.13,13.714,226
2020-12-02T00:00:00.000Z,0.7,37.1,4.65,2.52,8.23,5.177,238
2020-12-03T00:00:00.000Z,1.6,125.27,6.92,3.63,22.8,13.615,238
2020-12-04T00:00:00.000Z,0.2,54.83,1.8,1.2,5.8,10.325,266
2020-12-05T00:00:00.000Z,15.23,49.53,25.42,20.95,29.89,6.638,144
2020-12-11T00:00:00.000Z,6.4,19.7,14.9,10.67,16.8,3.622,91
2020-12-12T00:00:00.000Z,5.97,37.9,10.22,8.33,17.63,6.105,318
2020-12-13T00:00:00.000Z,0.73,15.93,3.83,2.83,5.54,2.756,304
2020-12-14T00:00:00.000Z,0,16.57,1.9,1.1,3.37,2.041,225
2020-12-16T00:00:00.000Z,1.1,43.77,5.57,2.7,16.6,8.309,167
2020-12-17T00:00:00.000Z,1.3,38.97,10.18,3.6,13.67,7.456,274
2020-12-18T00:00:00.000Z,1.3,12.93,4.03,2.97,5.12,2.454,304
2020-12-19T00:00:00.000Z,0.9,50.3,6.99,2.68,25.62,14.491,288
2020-12-20T00:00:00.000Z,2.3,62.1,8.02,5.7,21.9,14.478,303
2020-12-21T00:00:00.000Z,0,14.33,2.5,0.7,6.03,3.682,294
2020-12-22T00:00:00.000Z,1.2,10.57,4.7,2.37,5.87,2.157,280
2020-12-23T00:00:00.000Z,0.7,30.77,3.9,2.1,6.5,5.095,307
2020-12-24T00:00:00.000Z,0.3,53.9,4.53,2.22,6.75,5.106,281
