date,latitude,longitude,pm10
2020-10-06T00:00:00.000Z,41.5549,-8.4067,2.92
2020-10-21T00:00:00.000Z,41.5549,-8.4067,4.94
2020-11-05T00:00:00.000Z,41.5549,-8.4067,2.57
2020-11-06T00:00:00.000Z,41.5549,-8.4067,7.73
2020-11-07T00:00:00.000Z,41.5549,-8.4067,5.74
2020-11-08T00:00:00.000Z,41.5549,-8.4067,7.07
2020-11-09T00:00:00.000Z,41.5549,-8.4067,13.23
2020-11-10T00:00:00.000Z,41.5549,-8.4067,14.45
2020-11-11T00:00:00.000Z,41.5549,-8.4067,12.57
2020-11-12T00:00:00.000Z,41.5549,-8.4067,20.27
2020-11-13T00:00:00.000Z,41.5549,-8.4067,23.84
2020-11-14T00:00:00.000Z,41.5549,-8.4067,12.44
2020-11-15T00:00:00.000Z,41.5549,-8.4067,15.6
2020-11-16T00:00:00.000Z,41.5549,-8.4067,20.75
2020-11-17T00:00:00.000Z,41.5549,-8.4067,27.91
2020-11-18T00:00:00.000Z,41.5549,-8.4067,22.02
2020-11-19T00:00:00.000Z,41.5549,-8.4067,18.3
2020-11-20T00:00:00.000Z,41.5549,-8.4067,7.7
2020-11-21T00:00:00.000Z,41.5549,-8.4067,9.27
2020-11-22T00:00:00.000Z,41.5549,-8.4067,28.1
2020-11-23T00:00:00.000Z,41.5549,-8.4067,35.97
2020-11-24T00:00:00.000Z,41.5549,-8.4067,43.85
2020-11-25T00:00:00.000Z,41.5549,-8.4067,13.5
2020-11-26T00:00:00.000Z,41.5549,-8.4067,10.1
2020-11-27T00:00:00.000Z,41.5549,-8.4067,25.25
2020-11-28T00:00:00.000Z,41.5549,-8.4067,15.93
2020-11-29T00:00:00.000Z,41.5549,-8.4067,4.47
2020-11-30T00:00:00.000Z,41.5549,-8.4067,4.34
2020-12-01T00:00:00.000Z,41.5549,-8.4067,8.22
2020-12-02T00:00:00.000Z,41.5549,-8.4067,9.72
2020-12-03T00:00:00.000Z,41.5549,-8.4067,22.24
2020-12-04T00:00:00.000Z,41.5549,-8.4067,9.86
2020-12-05T00:00:00.000Z,41.5549,-8.4067,42.94
2020-12-11T00:00:00.000Z,41.5549,-8.4067,39.86
2020-12-12T00:00:00.000Z,41.5549,-8.4067,40.44
2020-12-13T00:00:00.000Z,41.5549,-8.4067,6.55
2020-12-14T00:00:00.000Z,41.5549,-8.4067,6.87
2020-12-16T00:00:00.000Z,41.5549,-8.4067,14.1
2020-12-17T00:00:00.000Z,41.5549,-8.4067,16.86
2020-12-18T00:00:00.000Z,41.5549,-8.4067,8.39
2020-12-19T00:00:00.000Z,41.5549,-8.4067,20.22
2020-12-20T00:00:00.000Z,41.5549,-8.4067,21.7
2020-12-21T00:00:00.000Z,41.5549,-8.4067,4.8
2020-12-22T00:00:00.000Z,41.5549,-8.4067,7.87
2020-12-23T00:00:00.000Z,41.5549,-8.4067,9.93
2020-12-24T00:00:00.000Z,41.5549,-8.4067,10.1
2020-12-25T00:00:00.000Z,41.5549,-8.4067,4.87
2020-12-26T00:00:00.000Z,41.5549,-8.4067,9.27
2020-12-27T00:00:00.000Z,41.5549,-8.4067,46.83
2020-12-28T00:00:00.000Z,41.5549,-8.4067,19.39
2020-12-29T00:00:00.000Z,41.5549,-8.4067,15.7
2020-12-30T00:00:00.000Z,41.5549,-8.4067,31.25
2020-12-31T00:00:00.000Z,41.5549,-8.4067,13.93
2021-01-01T00:00:00.000Z,41.5549,-8.4067,14.0
2021-01-02T00:00:00.000Z,41.5549,-8.4067,25.82
2021-01-03T00:00:00.000Z,41.5549,-8.4067,34.74
2021-01-04T00:00:00.000Z,41.5549,-8.4067,41.0
2021-01-05T00:00:00.000Z,41.5549,-8.4067,28.97
2021-01-06T00:00:00.000Z,41.5549,-8.4067,24.67
2021-01-07T00:00:00.000Z,41.5549,-8.4067,14.0
2021-01-08T00:00:00.000Z,41.5549,-8.4067,16.59
2021-01-09T00:00:00.000Z,41.5549,-8.4067,9.19
2021-01-10T00:00:00.000Z,41.5549,-8.4067,5.03
2021-01-11T00:00:00.000Z,41.5549,-8.4067,19.17
2021-01-12T00:00:00.000Z,41.5549,-8.4067,64.55
2021-01-13T00:00:00.000Z,41.5549,-8.4067,83.13
2021-01-14T00:00:00.000Z,41.5549,-8.4067,75.67
2021-01-15T00:00:00.000Z,41.5549,-8.4067,58.9
2021-01-16T00:00:00.000Z,41.5549,-8.4067,57.67
2021-01-17T00:00:00.000Z,41.5549,-8.4067,92.0
2021-01-18T00:00:00.000Z,41.5549,-8.4067,82.72
2021-01-19T00:00:00.000Z,41.5549,-8.4067,28.02
2021-01-20T00:00:00.000Z,41.5549,-8.4067,19.82
2021-01-21T00:00:00.000Z,41.5549,-8.4067,29.93
2021-01-22T00:00:00.000Z,41.5549,-8.4067,18.05
2021-01-23T00:00:00.000Z,41.5549,-8.4067,16.88
2021-01-24T00:00:00.000Z,41.5549,-8.4067,20.43
2021-01-25T00:00:00.000Z,41.5549,-8.4067,9.69
2021-01-26T00:00:00.000Z,41.5549,-8.4067,8.52
2021-01-27T00:00:00.000Z,41.5549,-8.4067,16.01
2021-01-28T00:00:00.000Z,41.5549,-8.4067,16.2
2021-01-29T00:00:00.000Z,41.5549,-8.4067,5.03
2021-01-30T00:00:00.000Z,41.5549,-8.4067,34.07
2021-01-31T00:00:00.000Z,41.5549,-8.4067,18.18
2021-02-01T00:00:00.000Z,41.5549,-8.4067,17.57
2021-02-02T00:00:00.000Z,41.5549,-8.4067,5.17
2021-02-03T00:00:00.000Z,41.5549,-8.4067,17.29
2021-02-04T00:00:00.000Z,41.5549,-8.4067,10.99
2021-02-05T00:00:00.000Z,41.5549,-8.4067,8.99
2021-02-06T00:00:00.000Z,41.5549,-8.4067,1.69
2021-02-07T00:00:00.000Z,41.5549,-8.4067,8.98
2021-02-08T00:00:00.000Z,41.5549,-8.4067,19.7
2021-02-09T00:00:00.000Z,41.5549,-8.4067,15.2
2021-02-10T00:00:00.000Z,41.5549,-8.4067,14.6
2021-02-11T00:00:00.000Z,41.5549,-8.4067,7.9
2021-02-12T00:00:00.000Z,41.5549,-8.4067,22.57
2021-02-13T00:00:00.000Z,41.5549,-8.4067,25.33
2021-02-14T00:00:00.000Z,41.5549,-8.4067,16.68
2021-02-15T00:00:00.000Z,41.5549,-8.4067,7.95
2021-02-16T00:00:00.000Z,41.5549,-8.4067,17.89
2021-02-17T00:00:00.000Z,41.5549,-8.4067,12.07
2021-02-18T00:00:00.000Z,41.5549,-8.4067,11.1
2021-02-19T00:00:00.000Z,41.5549,-8.4067,15.7
2021-02-20T00:00:00.000Z,41.5549,-8.4067,21.4
2021-02-21T00:00:00.000Z,41.5549,-8.4067,3.55
2021-02-22T00:00:00.000Z,41.5549,-8.4067,9.63
2021-02-23T00:00:00.000Z,41.5549,-8.4067,8.13
