date,min,max,median,q1,q3,stdev,count
2022-03-02T00:00:00.000Z,3.95,52.88,13.57,10.23,18.13,7.697,653
2022-03-03T00:00:00.000Z,0.3,19.42,3.15,2.17,4.26,3.105,657
2022-03-04T00:00:00.000Z,0.7,56.45,3.08,2.25,7.07,9.408,670
2022-03-05T00:00:00.000Z,1.85,64.22,7.56,5.25,12.05,7.071,690
2022-03-06T00:00:00.000Z,0.43,64.88,2.67,1.83,4.59,5.763,636
2022-03-07T00:00:00.000Z,0.5,36.2,3.34,2.25,6.44,5.477,644
2022-03-08T00:00:00.000Z,2.25,102.57,5.43,4.32,11.99,12.653,649
2022-03-09T00:00:00.000Z,1.45,39.79,6.13,4.4,13.48,8.389,679
2022-03-10T00:00:00.000Z,1.85,34.92,7.02,5.22,9.72,4.398,676
2022-03-11T00:00:00.000Z,1.92,61.6,5.7,4.32,10.14,11.032,629
2022-03-12T00:00:00.000Z,2.2,45.75,8.98,7.03,12.88,6.802,683
2022-03-13T00:00:00.000Z,1.6,63.1,7.54,4.95,13.99,8.768,668
2022-03-14T00:00:00.000Z,1.67,56.72,6.35,3.6,16.39,10.687,654
2022-03-15T00:00:00.000Z,2.15,155.77,22.67,6.5,65.06,30.427,643
2022-03-16T00:00:00.000Z,1.55,79.95,12.35,3.82,52.84,24.256,653
2022-03-17T00:00:00.000Z,1.6,35.4,5.07,4,8.28,5.581,673
2022-03-18T00:00:00.000Z,1,50.4,3.22,2.17,8.3,7.214,647
2022-03-19T00:00:00.000Z,1.73,109.2,4.97,3.85,12.11,10.423,657
2022-03-20T00:00:00.000Z,1.9,74.13,6.18,4.4,8.4,4.648,567
2022-03-21T00:00:00.000Z,0.56,52.55,5,2.42,6.99,5.178,261
2022-03-22T00:00:00.000Z,2.1,13.25,4.51,3.45,5.9,2.406,98
2022-03-23T00:00:00.000Z,0.4,27.6,2.64,1.6,5.34,3.968,424
2022-03-24T00:00:00.000Z,1.1,13,2.88,2.38,3.4,1.296,236
2022-03-25T00:00:00.000Z,4.63,96.85,12.27,9.35,18.63,10.223,411
2022-03-26T00:00:00.000Z,3.05,72.97,7.12,5.63,9.05,8.186,454
2022-03-27T00:00:00.000Z,3.08,40.9,7.78,6.14,10.93,3.983,457
2022-03-28T00:00:00.000Z,5.05,65.56,10.07,8.48,14.5,5.687,687
